,game,player,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five
0,20141114,842298,0,0,"(0.9418791080793177, 12)","(0.8581890221721494, 24)","(0.7701261691898322, 171)","(0.3157011261096847, 1)","(1.5389577571576882, 2)","(0.8956617056241224, 3)","(0.973398906587889, 9)","(0.8667916406696634, 42)"
1,20141114,842297,"(1.0, 1)","(1.0, 1)","(0.8553851265824233, 13)","(0.7865266621620061, 26)","(0.8648156456534546, 167)",0,0,0,"(0.9099319039717462, 8)","(0.9862445857149286, 78)"
2,20141114,601140,0,0,"(0.8650234524685145, 11)","(0.9031695616776019, 19)","(0.8534886101141957, 173)",0,"(1.562364315522577, 1)","(0.9313219200654572, 4)","(0.9853264592874955, 9)","(0.955952361050134, 80)"
3,20141114,696290,"(0.8984731821874845, 4)","(0.632028691659014, 8)","(0.8274473891909822, 79)","(0.9655915259892046, 37)","(1.1899742749353541, 46)",0,0,"(0.8467360138913085, 6)","(1.3525868984768075, 1)","(1.4758919885988564, 5)"
4,20141114,842301,"(0.8500533165096636, 3)","(0.9940476360841846, 7)","(0.7957168231896876, 211)","(0.7253148072143386, 21)","(0.820117296269755, 11)","(-0.20280845205081321, 3)","(0.14635281046965326, 3)","(0.7947542941659649, 25)","(1.6782736787097197, 1)",0
5,20141114,601143,"(0.5634812106940892, 2)","(0.8717963123824722, 14)","(0.8212577494197852, 87)","(1.0104680516263038, 67)","(1.052258055488991, 28)",0,"(0.5685009645316716, 1)","(0.7230632025932884, 4)","(0.7593164032734039, 9)",0
6,20141114,792415,0,"(1.003419561050169, 8)","(0.9265622165351165, 70)","(1.00465753318014, 67)","(0.8477537627911891, 84)",0,0,0,0,"(0.6684316009224722, 16)"
7,20141114,696289,0,"(1.0, 1)","(0.6769032104727768, 19)","(0.6435291033831254, 21)","(0.8958684625874002, 94)","(3.337489028822921, 3)",0,"(0.8814912009471293, 11)","(1.0704710761881164, 11)","(1.1050627186440534, 82)"
8,20141114,842296,0,"(1.0, 1)","(0.9229749454113192, 19)","(0.8573121210394876, 22)","(0.8800452908293404, 95)","(1.8544903572514286, 3)",0,"(0.9903147942626199, 1)","(1.1227097364578071, 1)","(1.0288816706363437, 43)"
9,20141114,756883,0,"(1.0544311828382984, 2)","(1.0830626041482754, 10)","(1.0536774561058155, 43)","(0.8597121154750798, 114)",0,0,"(1.0681520456313798, 3)","(0.7782764173022503, 4)","(0.9138268237411443, 18)"
10,20141114,786843,"(0.8518986408060734, 6)",0,"(0.8554282167674649, 10)","(0.9075888213759921, 8)","(0.7428521600638633, 26)",0,0,0,0,"(0.7691242387443458, 2)"
11,20141114,842313,0,0,"(0.8457984203613323, 5)","(0.7674821787550832, 4)","(0.7186356231936145, 7)",0,0,0,0,"(0.8329176784286859, 2)"
12,20141115,842297,"(0.5645927356747137, 2)","(0.8480168537721227, 3)","(0.6667663711042596, 23)","(0.5891735846206114, 21)","(0.8703737940935548, 190)",0,"(0.9599834114535324, 1)","(0.9423880152136747, 7)","(0.92862552471768, 8)","(0.9398028392115414, 103)"
13,20141115,842301,"(0.8770221127150094, 5)","(0.8668026914223236, 19)","(0.7174214876115054, 336)","(0.7592329268593526, 30)","(0.8617682727334431, 15)","(0.9048209998784776, 6)","(0.7568244233377576, 5)","(0.8479174451749325, 37)","(1.027388870125107, 3)","(0.8708264539614368, 5)"
14,20141115,842298,"(1.0, 4)","(0.939844760833363, 1)","(0.6618186003523827, 32)","(1.0039429553128438, 41)","(0.9122318308122687, 227)","(1.4620602533393372, 1)","(1.7896475178785831, 3)","(0.9059560559563457, 9)","(1.0300345928903825, 8)","(0.9535398056278226, 62)"
15,20141115,601140,"(0.6528452077511686, 1)","(0.2873960135719296, 2)","(0.7676777307892568, 13)","(0.7126717462415716, 15)","(0.8905241020025727, 281)",0,0,"(0.6376925789080282, 6)","(0.8833655817812227, 10)","(0.9639545231074351, 114)"
16,20141115,696290,"(1.0, 2)","(0.769500703415656, 21)","(0.7494880885923209, 149)","(0.8744023941588074, 67)","(0.840356561671812, 113)","(-0.27215480632360606, 4)","(-0.23966918030958503, 3)","(0.5182725394464501, 28)","(0.6046553651381398, 14)","(0.7865066935591873, 13)"
17,20141115,601519,0,0,"(0.48564734766650913, 1)",0,0,0,0,0,0,0
18,20141115,601143,"(0.8084796450399431, 5)","(0.8545479758980323, 23)","(0.6367905857030243, 112)","(0.7030388408552892, 32)","(0.9958067701249402, 17)",0,"(0.7036300231359409, 1)","(1.1119846631311856, 5)","(0.7200963819260736, 8)","(0.5405023043604528, 3)"
19,20141115,696289,"(1.0, 1)","(0.33381492066629737, 1)","(0.5630287966985903, 20)","(0.9693414610993792, 11)","(1.0286928770058104, 167)",0,0,"(0.9130106649875214, 6)","(1.083587363989174, 8)","(1.0287712756775877, 89)"
20,20141115,756883,"(0.8826026187601683, 3)","(0.8062328723070654, 9)","(0.897121943092609, 31)","(0.9993059888332783, 37)","(0.8862047329376168, 213)","(1.652087857275759, 1)",0,"(1.0360909119947581, 1)",0,"(0.921359243586379, 14)"
21,20141115,792415,"(1.0, 3)","(0.7977263591845865, 2)","(0.6958673148043215, 44)","(0.8108230365600558, 21)","(0.754225069454513, 76)",0,0,0,"(1.066521795466133, 1)","(0.7204557978460764, 13)"
22,20141115,842296,0,0,"(0.7503055137588587, 11)","(1.1052118207425967, 13)","(0.9360212366174832, 125)","(1.790657944597526, 1)",0,"(1.3224369695435165, 2)","(1.0289017747510996, 4)","(1.0496791508714913, 34)"
23,20141115,712599,0,0,0,"(0.6985885485111504, 1)",0,0,0,0,0,0
24,20141115,786843,"(0.6047944612948567, 4)","(1.236035853837967, 1)","(0.7248288237913739, 7)","(0.8675671924601552, 10)","(0.8373603577795696, 21)",0,0,0,"(0.9902727440191976, 2)","(0.8173790850045012, 6)"
25,20141115,842313,0,0,0,0,"(0.665392839538438, 14)",0,0,0,0,"(0.7372242266013397, 1)"
26,20141118,842301,"(0.9328265561943682, 7)","(0.6220684119746015, 9)","(0.8587759982815314, 330)","(0.8552406157190978, 62)","(0.901593869836887, 36)","(1.10484892682146, 2)","(0.3530311794190871, 5)","(0.8293788125171149, 29)","(0.8158306780175947, 2)","(1.030903272809877, 3)"
27,20141118,601140,"(1.0, 2)","(0.5831511544096015, 4)","(0.8395503679149542, 28)","(1.0384294809313497, 30)","(0.9941534077519162, 337)","(0.43419287118058436, 5)","(1.0776912451292315, 1)","(0.8381944435571136, 11)","(1.1419224610035708, 11)","(1.115708129421239, 202)"
28,20141118,842298,"(1.0, 1)","(1.0552103551335945, 5)","(0.9444165664075235, 48)","(0.9519978315100277, 81)","(0.9416140503838745, 339)","(1.362161870414297, 2)","(0.2257100183326907, 1)","(0.8352056021842159, 15)","(0.9606925992090849, 19)","(1.0200371142729547, 100)"
29,20141118,842297,0,"(0.2881212611532891, 3)","(0.6709515591982993, 30)","(0.9965779956191553, 51)","(0.9647961506435836, 335)",0,"(0.7411851187401645, 2)","(1.7249725256562671, 3)","(1.256655677329936, 4)","(1.0145294221463304, 135)"
30,20141118,696290,0,"(0.7911644571756212, 11)","(0.8067904697180394, 127)","(0.885959082984985, 66)","(1.0187817333660165, 96)",0,"(1.4643250092482654, 1)","(0.8391521661156098, 4)","(0.6777947868930171, 4)","(0.8922019210714697, 11)"
31,20141118,601143,0,"(1.1386859101712619, 2)","(0.8757334214206822, 84)","(1.0533569413789872, 26)","(0.9228565003659969, 26)",0,0,0,0,0
32,20141118,792415,0,0,0,"(1.217841538854899, 4)","(0.8080539251304455, 23)",0,0,0,0,0
33,20141118,756883,"(0.7035802869374724, 2)","(0.9064718390833161, 5)","(0.8509844407475949, 35)","(0.8856616136537028, 47)","(0.8744481796362353, 288)",0,"(0.904526301228738, 2)","(0.7276879214654862, 1)","(0.9194142114104669, 10)","(1.0171621409742921, 37)"
34,20141118,696289,0,0,"(1.0317334370706739, 5)","(1.0440710600995193, 5)","(1.0226929154291904, 80)",0,0,"(0.7568825554532069, 2)","(0.9826233027764232, 3)","(1.0977639554313128, 37)"
35,20141118,842296,"(1.0, 1)",0,"(1.2815641873694346, 5)","(1.232026612159571, 1)","(1.2524152328111404, 3)",0,0,"(0.9789038753385744, 3)",0,0
36,20141121,842301,"(0.7104145933051916, 8)","(0.913661668643568, 25)","(0.8675665123858092, 307)","(0.6955428511418537, 43)","(1.2415107721807135, 30)","(0.525884899956128, 5)","(0.8774387811194451, 5)","(0.7344620439547936, 53)","(0.6425990464902354, 2)",0
37,20141121,842297,0,"(0.9968186423935428, 2)","(0.7198171288334858, 47)","(0.7591042712037668, 37)","(0.8919932160761058, 266)",0,"(1.7525682564255272, 1)","(0.8227202431341464, 10)","(1.0094180320033417, 13)","(1.0332114289778054, 132)"
38,20141121,601140,"(1.0, 3)","(0.6893893278731, 5)","(0.745834194405135, 34)","(0.8918740155523119, 34)","(0.9484118661011154, 362)",0,"(0.18032454300886513, 1)","(1.0563807983321702, 6)","(0.9769092285571029, 19)","(1.0374806705658595, 93)"
39,20141121,842298,"(0.4957374231110302, 1)","(1.0556915753631662, 6)","(0.8136983390519863, 53)","(0.8106977872779606, 63)","(0.8286153798128532, 205)","(2.6394133513518767, 5)","(0.9932409453392663, 2)","(0.8473265319279873, 10)","(0.7938817176261028, 15)","(0.8138829446284157, 49)"
40,20141121,696290,"(0.7401599267353673, 5)","(0.7514050755831518, 20)","(0.7217326429059471, 228)","(0.784169022176934, 114)","(0.7540464960461307, 78)","(0.48666504510382796, 3)","(-0.5190596814236188, 2)","(1.0507011844038838, 14)","(0.7252887844086201, 34)","(1.0860094880061162, 29)"
41,20141121,696289,"(1.0, 1)","(0.8115784524046874, 2)","(0.6930575785953509, 16)","(1.0454050856971768, 19)","(1.0234392163702841, 120)",0,"(1.2792726874641185, 1)","(0.707150227954248, 6)","(0.9352493531926562, 9)","(1.0068175755598834, 50)"
42,20141121,792415,0,0,"(0.7496673275130888, 20)","(0.6561500200289743, 15)","(0.7716675246622738, 24)",0,0,0,0,"(0.7944658522857546, 6)"
43,20141121,842296,0,"(1.0, 1)","(0.7790001035237241, 1)","(0.90862575690569, 9)","(0.8621867138715632, 55)",0,0,0,0,"(0.8390263462468651, 8)"
44,20141121,601143,"(0.7608946936685351, 3)","(0.3053103575248774, 3)","(0.6571681936370728, 75)","(0.8025748745040309, 33)","(0.693501439345103, 19)",0,0,"(0.02054515382784963, 1)","(0.8300679515130003, 10)","(0.6624911537412319, 3)"
45,20141121,756883,"(0.5755877708491595, 1)",0,"(0.7294438327957237, 14)","(0.9511839785304436, 37)","(0.8574858201891712, 144)",0,0,"(0.9465836477376868, 2)","(0.9195993075101034, 10)","(0.9294540305391035, 34)"
46,20141122,842297,"(1.0, 1)","(1.3442455788543903, 1)","(0.8037603380427384, 15)","(0.7974115449363549, 15)","(0.8858869538695582, 252)","(-0.7937898652193977, 1)",0,"(0.7891688074010359, 6)","(0.9507481746732298, 5)","(1.0045972781369752, 113)"
47,20141122,842301,"(0.7736570682989325, 10)","(0.578995510954355, 20)","(0.7532570636789809, 469)","(0.7478158866209885, 59)","(0.9039268283781917, 39)","(2.5910336534548257, 1)","(0.6618792598475499, 1)","(0.9994005439284069, 24)","(0.9938362302323999, 7)","(1.05540563821262, 9)"
48,20141122,842298,0,"(0.6570839241513169, 4)","(0.8153325913860828, 39)","(0.8470159262686238, 75)","(0.9206070396784041, 369)",0,0,"(0.8154590177884907, 8)","(0.8646588542555808, 20)","(0.9286739131774089, 66)"
49,20141122,601140,"(0.6698726210536363, 1)","(0.8352190820126603, 2)","(0.6442338702916396, 29)","(0.8173151308676815, 22)","(0.9469804604939008, 385)",0,"(0.41921577471127686, 3)","(1.0327605177589267, 8)","(1.0655442698685997, 20)","(1.0462282959568263, 225)"
50,20141122,696290,"(0.6688554121169986, 2)","(0.6298918376914094, 11)","(0.6525361567435114, 234)","(0.7383516300980159, 107)","(0.7488439348540165, 96)","(0.6143068209997116, 2)","(1.029174066770782, 1)","(0.7490689325904323, 20)","(0.6650840901290553, 19)","(0.6749086080348582, 14)"
51,20141122,601143,"(0.5333639204927707, 1)",0,"(0.6881537722411832, 51)","(0.7543818960446902, 10)","(0.3760431296037926, 5)",0,0,0,"(0.7319387171641552, 3)","(0.39526715734536216, 3)"
52,20141122,696289,"(0.7391785355351568, 2)","(0.42753088226825986, 1)","(0.7817945610263958, 21)","(1.108192572229767, 19)","(0.9374589632519106, 182)",0,0,"(0.8580928437559446, 4)","(0.8720024102573246, 5)","(1.0200955696797458, 68)"
53,20141122,756883,"(0.9213993986736533, 5)","(0.7215384113311863, 7)","(0.7956246419459344, 24)","(0.9980109585323902, 38)","(0.8902744564143033, 208)","(2.3623324491374635, 1)","(0.8407956582990448, 2)","(0.904323809502567, 6)","(0.8074963385383925, 6)","(0.9795493919283905, 26)"
54,20141126,842301,"(0.9179849205884315, 4)","(0.9556719651026236, 12)","(0.8407349933184405, 307)","(0.9587436651439819, 22)","(0.8898687257082376, 25)","(0.8522855520729246, 4)","(1.9444962330764113, 3)","(0.8795660977640128, 30)","(3.0220332088593276, 1)",0
55,20141126,601140,0,"(1.0, 1)","(0.6604338152707813, 15)","(1.0004060440871667, 18)","(0.8073358417968567, 184)",0,0,"(1.5714732570343541, 3)","(1.1529996887110372, 6)","(0.9225470115315697, 103)"
56,20141126,842298,"(0.9468885014398083, 5)","(0.5955403540648679, 7)","(0.8422976512114294, 51)","(0.9024538821167036, 35)","(0.8688214712539667, 200)","(-0.39698027213511705, 5)","(1.2773082378310876, 1)","(0.5789573531234422, 2)","(0.9122133818642512, 8)","(0.9640457988543898, 41)"
57,20141126,696290,"(0.7998975742437797, 8)","(0.711118582070416, 14)","(0.6992590886837193, 172)","(0.8575398510132181, 59)","(0.8118217341315583, 65)","(1.0709526732588281, 3)","(1.3447251532646818, 5)","(0.9379324637432709, 8)","(0.9139384375427347, 6)","(0.564647172707529, 8)"
58,20141126,842297,"(0.6003459047887012, 1)",0,"(1.0344580831690018, 17)","(0.9221760230225733, 13)","(0.8272606914882038, 174)",0,"(0.6341439228147493, 1)","(0.8987364286470716, 3)","(1.0024957339738942, 2)","(0.9281592029362228, 137)"
59,20141126,601143,"(0.8604119514973279, 4)","(0.6604774834099294, 10)","(0.7643382634739195, 111)","(0.9260319602092255, 27)","(0.9924471034264377, 18)",0,0,"(0.7909414447633519, 3)","(0.9062380413045397, 2)","(0.7198711216448896, 2)"
60,20141126,696289,0,0,"(0.7504184001232959, 17)","(0.6432064820661806, 26)","(0.7756182128760298, 165)",0,0,"(1.0765175809798235, 8)","(1.0286158123007108, 13)","(0.9936795730763023, 126)"
61,20141126,792415,"(0.5702031510669049, 1)","(0.5931274148934582, 5)","(0.8272207838279606, 70)","(0.7854247399828339, 64)","(0.7586711586552926, 91)",0,0,"(0.9947058305866459, 3)","(1.0554967669399447, 1)","(0.7145745638963945, 10)"
62,20141126,842296,"(0.8088881591711123, 2)","(0.8710476469282056, 3)","(0.8954953420640368, 20)","(0.7336401191183424, 17)","(0.7682605901736524, 157)",0,0,"(0.9304612714091446, 6)","(1.1459362512726674, 3)","(0.817049127433131, 20)"
63,20141126,756883,"(1.0, 5)","(1.0563270795381206, 2)","(0.705088671910105, 22)","(0.8002009040988642, 25)","(0.8044344996739532, 237)",0,0,"(0.8630424344086733, 2)","(1.1576987985800644, 2)","(0.8565737697441898, 38)"
64,20141126,786843,0,0,"(1.128675312522749, 3)","(0.8291247039096826, 6)","(0.7292203480646552, 18)",0,0,0,"(1.0548484831214158, 2)","(0.9709463945602224, 2)"
65,20141130,696290,"(0.7296713907853213, 12)","(0.742371222399867, 12)","(0.7687654772208914, 128)","(0.8959852074515092, 61)","(0.9791756601329005, 45)",0,0,"(0.7387900814073768, 2)","(1.27323554820088, 1)","(1.1989123725097761, 11)"
66,20141130,842301,"(1.0, 3)","(0.7645047320338918, 12)","(0.8707449700197805, 292)","(0.8883774541349455, 53)","(0.9032072713822402, 36)","(2.054791531134572, 4)","(0.8607635901611481, 2)","(0.8540410025989958, 42)","(0.9378008923473112, 6)",0
67,20141130,842298,0,"(0.5713170025913301, 1)","(0.8265465196556246, 13)","(0.7951187146855896, 49)","(0.8630450941058114, 110)",0,"(0.8874795166485723, 4)","(1.2136674093701214, 5)","(1.1378323853112575, 2)","(0.9884303613012104, 24)"
68,20141130,601140,0,"(0.9233658097939431, 3)","(0.7915649095618466, 42)","(0.8227259229189409, 37)","(0.9338820228825953, 248)","(0.9607851118659156, 3)","(0.6843898625172407, 3)","(1.0770340764494661, 10)","(1.1217539458971095, 20)","(1.1069571549595247, 109)"
69,20141130,842297,"(1.0, 2)","(0.6720335007583559, 2)","(0.7298413835136038, 34)","(0.6063206847625703, 18)","(0.7559508136458488, 304)",0,"(1.0781546863913343, 2)","(0.9609147815750715, 10)","(1.011331772405559, 14)","(1.005471019526746, 221)"
70,20141130,756883,"(1.0, 2)","(0.8411149811497193, 7)","(0.8181526563270626, 28)","(0.8101460570653399, 33)","(0.6973215141828009, 190)",0,"(0.7670410333733112, 1)",0,"(0.9710310252466193, 3)","(1.0409894426674176, 28)"
71,20141130,696289,"(1.0, 1)","(0.5836321272791252, 2)","(0.8501806628928149, 40)","(0.9688803023794966, 36)","(0.9341517445509085, 259)","(1.780047851647988, 1)","(1.0252953572983516, 1)","(0.8752211918820367, 8)","(1.032730904679533, 9)","(1.151420805337698, 80)"
72,20141130,792415,"(1.0, 1)",0,"(0.9982524384663772, 51)","(0.8203136507014808, 76)","(0.8065427840242408, 130)",0,"(0.7869986831369185, 1)",0,"(0.7827882159034907, 7)","(0.9040777963279, 19)"
73,20141130,601143,"(0.6487623030386287, 5)","(0.8610975826052606, 5)","(0.7441650943478293, 141)","(0.7287457533132982, 16)","(0.8832068882256975, 26)",0,"(0.5385964224650471, 1)","(0.5715162305116754, 4)","(0.6701564325110857, 1)","(1.2760076577085828, 1)"
74,20141130,842296,"(0.8463494080588773, 4)","(0.6961302252002961, 7)","(0.7626289333524382, 22)","(0.8606435435558271, 26)","(0.920546701420567, 122)",0,0,0,"(0.769115510708271, 1)","(0.9995884430270845, 20)"
75,20141130,621266,0,0,"(0.4019695423901899, 3)",0,"(0.5626284675961666, 1)",0,0,0,0,0
